A,AA,B,BB,C,CC,D,DD,E,EE,F,FF,G,GG,H,HH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.58,1.08,13.11510032,2.419354839,7.793030623,1.612903226,10.45406547,0.806451613,1.214991392,9.482141851,5.960264901,-1.202749141,8.145695364,-6.013745704,9.404109217,-5.79365247
14.12,1.87,22.4400339,8.146966167,16.53643083,4.032258065,19.57761352,4.032258065,4.823254804,3.207002422,10.33112583,-11.42611684,14.90066225,-12.62886598,14.39368147,-11.20794603
17.31,2.85,44.63788308,31.98671775,26.23020063,9.677419355,29.84160507,11.29032258,6.200955379,-2.214241451,14.70198675,-21.04810997,23.44370861,-12.62886598,15.37542069,-12.56248474
20.5,4.62,48.68106276,41.02648246,37.06441394,17.74193548,39.72544879,18.5483871,8.497123005,-6.338093629,19.86754967,-21.04810997,31.98675497,-13.83161512,21.53935512,-15.99902822
23.69,6.38,51.99092062,50.97022364,48.27877508,36.29032258,49.6092925,32.25806452,11.35967865,-19.28884288,27.01986755,-19.84536082,42.91390728,-9.020618557,23.1007491,-17.08791054
27.09,9.62,55.5518256,62.39956956,55.88173178,53.22580645,57.78247096,48.38709677,12.53837803,-22.0643344,31.58940397,-19.84536082,49.07284768,3.608247423,26.08576702,-15.59359332
29.93,12.46,58.51153882,74.1722864,62.72439282,74.19354839,72.41816262,79.03225806,17.63587016,-26.4013295,35.36423841,-21.64948454,59.60264901,36.08247423,27.00423407,-14.8869782
32.78,15.5,61.70247964,86.43553309,72.98838437,108.8709677,80.97148891,95.16129032,22.09043535,-25.15027322,41.12582781,-17.43986254,67.35099338,64.34707904,28.24416459,-14.44679173
36.04,19.72,64.70843838,98.40446187,80.21119324,133.0645161,91.99577614,117.7419355,25.32343937,-24.12162695,47.28476821,-5.412371134,75.29801325,92.01030928,29.4840951,-13.68225734
39.09,24.16,68.02490276,111.2423293,88.76451954,157.2580645,101.6895459,135.483871,25.85615026,-24.0382232,51.25827815,7.216494845,84.2384106,121.4776632,30.44848551,-12.50070419
42.19,30.02,71.33079672,124.2259541,99.21858501,186.2903226,110.813094,150,28.92153404,-24.76800603,55.43046358,24.65635739,93.57615894,147.9381443,39.63315601,-4.994366515
45.53,36.99,74.14252429,135.096096,108.3421331,208.8709677,119.936642,158.8709677,29.83180049,-25.80558842,67.94701987,79.3814433,104.7019868,179.8109966,40.85012485,-3.882316489
49.08,47.19,77.00974647,146.280177,119.5564942,233.8709677,130.3907075,162.0967742,30.72402562,-26.95735452,78.2781457,126.2886598,115.6291391,203.2646048,41.81451525,-2.978775844
52.13,58.77,86.42533417,180.8527221,128.8701162,244.3548387,137.9936642,157.2580645,37.54692371,-32.29916624,90,167.7835052,125.3642384,219.5017182,44.36326132,0.183616416
55.51,72.07,96.08139856,216.7595084,136.6631468,242.7419355,146.7370644,142.7419355,38.83715123,-31.45189003,98.34437086,199.0549828,130.9271523,222.5085911,46.42981218,2.65097741
58.07,83.14,99.02261358,228.100559,144.0760296,233.8709677,151.6789863,129.8387097,39.4494626,-30.78002648,105.2980132,223.7113402,138.8741722,220.7044674,48.35859299,6.056630612
61.13,97.12,102.2730129,240.5740328,150.3484688,213.7096774,157.1911299,108.0645161,42.79268266,-25.42828573,112.4503311,244.7594502,146.6225166,209.2783505,53.86939529,17.10762774
64.06,110.67,105.5432318,252.7251583,154.1499472,194.3548387,164.4139388,81.4516129,43.74329606,-23.41269506,124.7682119,275.4295533,150.9933775,196.04811,56.80848985,26.71064306
67.11,123.52,109.1781296,261.0249237,159.281943,161.2903226,168.5955649,58.87096774,46.15427207,-15.76735114,133.5099338,286.8556701,156.1589404,172.5945017,74.44305721,75.40685032
70.17,136.37,112.7020381,268.2651446,164.0337909,133.0645161,174.1077086,34.67741935,47.21050917,-11.57399583,138.4768212,287.4570447,163.5099338,130.4982818,76.94128759,83.13559799
73.11,148.95,115.6710005,285.9830834,168.2154171,98.38709677,176.7687434,21.77419355,48.84078819,-3.604303983,146.2251656,275.4295533,167.6821192,99.22680412,80.61209424,96.52653372
75.95,161,119.278151,295.9898927,172.0168955,68.5483871,180,0,51.3436109,10.92184947,156.7549669,238.1443299,170.8609272,71.56357388,82.66333731,103.1351227
79.48,171.33,122.0528821,302.170569,174.4878564,41.93548387,,,52.00184562,11.22302969,162.7152318,198.4536082,175.0331126,41.49484536,85.85501031,109.9290533
81.99,186.86,125.521296,308.3512454,175.8183738,33.87096774,,,53.50200847,22.15818827,166.8874172,158.161512,176.8211921,24.65635739,86.68928455,111.6782153
85.15,201.12,128.5272548,313.0603321,180,0,,,54.0530887,24.18150151,170.0662252,122.6804124,179.205298,7.216494845,89.59776354,119.0058307
88.04,213.92,131.2094949,315.1205575,,,,,55.61448268,30.9464725,172.0529801,99.22680412,180,0,90.72288568,122.1963551
91.14,228.77,134.2616991,318.0637368,,,,,56.53294973,36.44935497,174.8344371,70.96219931,,,92.5368581,127.4785928
93.91,241.33,137.9613407,317.5732069,,,,,57.22180002,39.53396992,176.6225166,40.89347079,,,95.03968082,132.5001937
96.66,254.79,141.198527,314.8262396,,,,,57.91065031,45.10685698,178.6092715,17.43986254,,,97.61904245,138.599093
99.42,268.24,144.8056775,308.9398812,,,,,59.99250896,54.15279421,180,0,,,101.0671208,145.4277752
102.19,280.8,147.524914,298.4621632,,,,,60.6844208,56.28422342,,,,,103.2369992,150.0671089
105.25,294.73,149.661457,290.1035343,,,,,62.79164663,69.03639232,,,,,104.0176962,152.1753704
108.25,308.2,152.8523978,267.1913301,,,,,63.97253284,76.13894992,,,,,107.5341129,159.0065348
111.56,321.77,155.4883924,252.062943,,,,,66.34906633,89.30400048,,,,,108.7937249,161.3961185
114.67,332.49,157.8777442,237.610298,,,,,67.15655195,92.06288848,,,,,111.8246662,167.3455862
118.03,343.23,159.9599784,220.5183687,,,,,69.86384292,103.986536,,,,,112.8481009,169.359191
121.57,353.38,161.592801,202.7163391,,,,,70.69046327,108.8914709,,,,,116.2726709,174.4627063
124.37,358.58,163.1189031,187.4526513,,,,,71.59580936,112.8829362,,,,,117.4043535,176.3508746
127.83,366.23,164.2750411,173.4625392,,,,,72.31221366,117.080925,,,,,118.2998589,177.9378627
130.38,369.57,165.7548977,159.3738207,,,,,73.01943329,119.9954228,,,,,120.4582564,180.0924596
134.19,374.87,166.8647901,147.028235,,,,,73.64267878,123.8313334,,,,,121.5971556,181.6539632
138.15,377.03,168.1134191,132.9377646,,,,,74.38182608,127.3903348,,,,,122.4788839,182.4787336
141.29,376.04,169.3620482,120.5273589,,,,,75.31560091,132.6913272,,,,,124.88986,184.3669019
145.08,371.34,170.6106772,107.9260671,,,,,75.92572545,135.5012394,,,,,126.4742156,185.7222128
147.94,361.5,171.9980428,94.69325304,,,,,76.51616856,137.9040617,,,,,129.4707144,186.9211418
150.91,350.54,173.1079352,81.59750708,,,,,76.8769949,141.2819137,,,,,130.9747042,187.8073066
152.85,340.14,174.0989106,69.24736652,,,,,77.38215178,144.4095544,,,,,133.4545652,187.8073066
153.88,321.55,175.1889836,56.02268128,,,,,79.95385952,158.1680844,,,,,135.0067745,186.2504366
156.18,306.86,175.6051932,46.99693171,,,,,80.6427098,160.8400935,,,,,135.7507328,186.4172441
158.54,293.36,180,0,,,,,82.56000977,166.5741015,,,,,138.2994789,184.0541378
160.07,277.63,,,,,,,83.65834329,168.9487916,,,,,139.1949843,182.525069
161.18,261.06,,,,,,,84.27065465,171.098755,,,,,142.5014656,177.7230348
162.43,245.31,,,,,,,86.75051569,180.0075113,,,,,143.5730105,175.5747564
